OrderID,Date,Time,Location,Weather,OrderType,Price,DeliveryTime_min,IsDelayed,Rating
1,2025-04-12,17:17,Almaty,Snow,Burgers,5.57,96,1,1
2,2025-03-31,15:41,Astana,Clear,Burgers,5.67,49,1,5
3,2025-01-27,11:13,Astana,Clear,Burgers,17.58,34,0,2
4,2025-02-03,16:11,Almaty,Clear,Salads,19.33,18,0,3
5,2025-01-26,12:17,Astana,Rain,Salads,11.07,57,1,4
6,2025-01-14,22:41,Shymkent,Clear,Pizza,22.46,41,0,5
7,2025-03-30,08:24,Karaganda,Rain,Burgers,21.56,101,1,5
8,2025-02-20,13:34,Shymkent,Clear,Pizza,19.31,61,1,4
9,2025-02-09,08:37,Almaty,Clear,Desserts,16.53,52,1,3
10,2025-01-30,14:45,Astana,Clear,Pizza,4.82,28,0,1
11,2025-03-11,11:25,Karaganda,Cloudy,Desserts,7.5,81,1,2
12,2025-01-12,08:23,Shymkent,Clear,Sushi,21.49,38,0,5
13,2025-03-19,17:38,Shymkent,Cloudy,Burgers,24.1,41,0,5
14,2025-02-24,13:43,Shymkent,Cloudy,Sushi,8.37,28,0,1
15,2025-02-03,14:35,Shymkent,Cloudy,Desserts,21.54,57,1,3
16,2025-01-04,12:38,Almaty,Clear,Sushi,13.3,18,0,2
17,2025-03-03,12:34,Astana,Rain,Sushi,23.83,75,1,5
18,2025-02-13,21:40,Atyrau,Clear,Salads,11.22,89,1,2
19,2025-03-18,20:06,Almaty,Cloudy,Desserts,13.31,22,0,4
20,2025-01-30,08:09,Almaty,Clear,Desserts,21.61,44,0,3
21,2025-02-04,15:46,Shymkent,Cloudy,Salads,21.58,30,0,3
22,2025-03-09,19:20,Astana,Rain,Sushi,16.42,35,0,1
23,2025-02-15,20:15,Astana,Clear,Desserts,11.32,75,1,2
24,2025-03-28,18:16,Atyrau,Clear,Sushi,11.44,50,1,2
25,2025-01-08,13:15,Astana,Clear,Burgers,16.07,90,1,2
26,2025-01-26,19:15,Astana,Clear,Pizza,12.47,23,0,3
27,2025-02-13,12:58,Atyrau,Clear,Pizza,13.3,54,1,1
28,2025-02-05,21:34,Shymkent,Rain,Sushi,5.59,34,0,1
29,2025-01-27,12:24,Astana,Clear,Salads,6.21,33,0,4
30,2025-02-11,14:43,Atyrau,Cloudy,Salads,16.41,26,0,1
